0,TEXT_GAIUSB405_00861_SEQ_00,瞭望陣營地的布魯艾丁，正在制訂作戰計畫。
1,TEXT_GAIUSB405_00861_SEQ_01,布魯艾丁打算阻止地靈族製作魔像的計畫。首先，從尼姆浮游遺跡附近的身上獲得。
2,TEXT_GAIUSB405_00861_SEQ_02,獲得了。為了引誘地靈族出現，將放置在指定地點。
3,TEXT_GAIUSB405_00861_SEQ_03,在等待，打倒現身的地靈族。在與強化力量的地靈族交戰時，將發揮奇效。
4,TEXT_GAIUSB405_00861_SEQ_04,打倒了。向瞭望陣營地的布魯艾丁報告。
5,TEXT_GAIUSB405_00861_SEQ_05,向布魯艾丁報告完畢。對於成功阻止敵方補給物資一事，他感到十分高興。
6,TEXT_GAIUSB405_00861_SEQ_06,無
7,TEXT_GAIUSB405_00861_SEQ_07,無
8,TEXT_GAIUSB405_00861_SEQ_08,無
9,TEXT_GAIUSB405_00861_SEQ_09,無
10,TEXT_GAIUSB405_00861_SEQ_10,無
11,TEXT_GAIUSB405_00861_SEQ_11,無
12,TEXT_GAIUSB405_00861_SEQ_12,無
13,TEXT_GAIUSB405_00861_SEQ_13,無
14,TEXT_GAIUSB405_00861_SEQ_14,無
15,TEXT_GAIUSB405_00861_SEQ_15,無
16,TEXT_GAIUSB405_00861_SEQ_16,無
17,TEXT_GAIUSB405_00861_SEQ_17,無
18,TEXT_GAIUSB405_00861_SEQ_18,無
19,TEXT_GAIUSB405_00861_SEQ_19,無
20,TEXT_GAIUSB405_00861_SEQ_20,無
21,TEXT_GAIUSB405_00861_SEQ_21,無
22,TEXT_GAIUSB405_00861_SEQ_22,無
23,TEXT_GAIUSB405_00861_SEQ_23,無
24,TEXT_GAIUSB405_00861_TODO_00,從身上獲取
25,TEXT_GAIUSB405_00861_TODO_01,對使用
26,TEXT_GAIUSB405_00861_TODO_02,在等待 使用討伐
27,TEXT_GAIUSB405_00861_TODO_03,向布魯艾丁報告
28,TEXT_GAIUSB405_00861_TODO_04,無
29,TEXT_GAIUSB405_00861_TODO_05,無
30,TEXT_GAIUSB405_00861_TODO_06,無
31,TEXT_GAIUSB405_00861_TODO_07,無
32,TEXT_GAIUSB405_00861_TODO_08,無
33,TEXT_GAIUSB405_00861_TODO_09,無
34,TEXT_GAIUSB405_00861_TODO_10,無
35,TEXT_GAIUSB405_00861_TODO_11,無
36,TEXT_GAIUSB405_00861_TODO_12,無
37,TEXT_GAIUSB405_00861_TODO_13,無
38,TEXT_GAIUSB405_00861_TODO_14,無
39,TEXT_GAIUSB405_00861_TODO_15,無
40,TEXT_GAIUSB405_00861_TODO_16,無
41,TEXT_GAIUSB405_00861_TODO_17,無
42,TEXT_GAIUSB405_00861_TODO_18,無
43,TEXT_GAIUSB405_00861_TODO_19,無
44,TEXT_GAIUSB405_00861_TODO_20,無
45,TEXT_GAIUSB405_00861_TODO_21,無
46,TEXT_GAIUSB405_00861_TODO_22,無
47,TEXT_GAIUSB405_00861_TODO_23,無
48,TEXT_GAIUSB405_00861_BLOEIDIN_000_000,"與我們交戰的地靈族十分難纏，
他們擅長冶金技術和鍊金術，
甚至還掌握了製作魔像的秘術。"
49,TEXT_GAIUSB405_00861_BLOEIDIN_000_001,"那些傢伙在尼姆浮游遺跡收集秘術所需的材料，
那裡徘徊有許多古代魔像。
要是讓他們製作出大量魔像，戰況就難料了。"
50,TEXT_GAIUSB405_00861_BLOEIDIN_000_002,"看你還是有兩下子的，來幫我一下。
在魔像投入量產之前，去切斷那些傢伙的補給。
聽好了，作戰計畫是這樣的。"
51,TEXT_GAIUSB405_00861_BLOEIDIN_000_003,"首先，從身上，奪取秘術所需的材料。
之後，利用其設置成陷阱。
當你發現地靈族來收集材料時，就狠狠揍他們一頓。"
52,TEXT_GAIUSB405_00861_BLOEIDIN_000_004,"還有就是這個，你拿去吧。
負責回收材料的地靈，用鍊金藥強化了力量。
用這東西就能消除強化的影響了。"
53,TEXT_GAIUSB405_00861_DUMMY_000_010,打倒魔像，獲得1個
54,TEXT_GAIUSB405_00861_TODO_000_010,（未使用/預計刪除）
55,TEXT_GAIUSB405_00861_DUMMY_000_020,將設置在指定地點
56,TEXT_GAIUSB405_00861_TODO_000_020,（未使用/預計刪除）
57,TEXT_GAIUSB405_00861_DUMMY_000_030,在指定地點等待，對出現的地靈族使用道具並打倒他
58,TEXT_GAIUSB405_00861_TODO_000_030,（未使用/預計刪除）
59,TEXT_GAIUSB405_00861_BLOEIDIN_000_040,"好，幹得漂亮！作戰成功了！
從戰術角度來說，掐斷對方的補給可是一記殺招呢。
這下子，接下來的戰鬥中我們也能稍微喘口氣了！"
60,TEXT_GAIUSB405_00861_POP_MESSAGE_000,察覺到了敵人的氣息！
