#,Text,ContentTalkParam
0,,4
1,テスト用トークテキスト1,1
2,テスト用トークテキスト2,2
3,テスト用トークテキスト3,3
4,テスト用トークテキスト4,1
5,テスト用トークテキスト5,2
20,"我是冒險者行會的人。
負責管理“行會令”，發放單槍匹馬無法解決的特殊任務。",4
21,"你是第一次挑戰行會令吧？
此任務不可能靠一個人的力量達成，
需要多人配合進行。",4
22,"因為都是從周邊居民和各組織的委託中挑選出的特殊任務嘛。
同時也是對你們冒險者團結力的考驗。",4
23,"完成任務就可以獲取相應的報酬。
第一次完成該任務時還會獲得額外的報酬。
多多努力吧。",4
24,"我是冒險者行會的人。
負責管理“行會令”，發放單槍匹馬無法解決的特殊任務。",4
25,"但是看來你的實力還不夠，
還不能放心交給你這個任務。
你再去練練功夫吧。",4
26,"怎麼了？現在還在執行任務！
難道你想要放棄戰鬥，落荒而逃嗎？",4
27,"幹得漂亮。
這是你這次任務的報酬。",4
28,"幹得漂亮，真是身手了得！
這回會多給你些報酬的。",4
29,喂喂，你的背包已經裝滿了啊。,4
30,"正在發放任務的報酬。
請等一下。",4
31,"準備戰鬥！
確認是否全員都到齊了！",4
40,"我是冒險者行會的特務隊長。
負責管理“行會令”，發放這附近的多人特殊任務。",4
41,"你是第一次接受行會令吧？
此任務不可能靠一個人的力量達成，
是十分特殊的任務。",4
42,"此類任務極其困難，
沒有同伴幫忙，很難完成。",4
43,"而相對的，完成任務後的報酬也十分可觀。
特別是第一次完成該任務時，還會獲得額外的報酬。",4
44,"我是冒險者行會的特務隊長。
負責管理“行會令”，發放這附近的多人特殊任務。",4
45,"但是看來你的實力還不夠，
等你有了實力，能完成我的任務了，
再來找我。",4
46,"別放鬆，現在還在執行任務！
難道你想要放棄任務，落荒而逃嗎？",4
47,"幹得漂亮，和同伴的合作也很出色。
這是你這次任務的報酬，快收下吧。",4
48,"幹得漂亮，和同伴的合作也很出色。
這次多給你些報酬，快收下吧。",4
49,"做人可別太貪婪啊。
瞧你那鼓鼓的背包，哪裡還裝得下報酬！",4
50,"做人可別太貪婪啊。
我正在分配報酬，你等一會。",4
51,別慌，等同伴趕來！,4
60,"我是提落落，是冒險者行會的人。
負責管理“行會令”，發放單槍匹馬無法解決的特殊任務。",4
61,"哎呀？你是第一次接受行會令？
此任務不可能靠一個人的力量達成，
是十分特殊的任務。",4
62,"因為這些任務都很難，
是對你們冒險者團結力的考驗。",4
63,"完成任務就可以獲取相應的報酬。
第一次完成該任務時還會獲得額外的報酬。",4
64,"我是提落落，是冒險者行會的人。
負責管理“行會令”，發放單槍匹馬無法解決的特殊任務。",4
65,"但是看來你的實力還不夠，
要完成我的任務，
你還欠些經驗。",4
66,"現在還在執行任務，你要去幹什麼？
難道你想要放棄任務，落荒而逃嗎？",4
67,"幹得漂亮，
這是你這次任務的報酬。",4
68,"幹得漂亮，很好，很好！
這次我就多給你點額外的報酬！
以後還得多麻煩你了！",4
69,"我說你，
不在背包裡空出地方，怎麼領取報酬啊。",4
70,"我說你，我正在發放報酬呢，
你別急，等一下。",4
71,待我方到齊，便開始戰鬥！,4
