0,TEXT_BANIXA403_01500_SEQ_00,"**特殊規則： 等級調整**
※本任務推薦等級為：
　製作職業10級以上、戰鬥職業47級以上。

長風實驗場的學者塔澤爾·梅耶安有個離經叛道的委託要交給冒險者。"
1,TEXT_BANIXA403_01500_SEQ_01,"※本任務為**** 等級調整任務。

學者塔澤爾·梅耶安委託冒險者製作。首先去鳥人軍採伐所，從裡得到3份材料。"
2,TEXT_BANIXA403_01500_SEQ_02,獲得了。將交給秋瓜浮村浮栓亭的休德耶德，獲取製作設施的使用許可。
3,TEXT_BANIXA403_01500_SEQ_03,"可以使用製作設施了。用製作，並將其交給長風實驗場的學者塔澤爾·梅耶安。

※如果「製作設施：複雜工作」的狀態效果消失了，或者不足的話，就和休德耶德對話，即可重獲狀態效果和材料，並再次進行挑戰。"
4,TEXT_BANIXA403_01500_SEQ_04,將交給了學者塔澤爾·梅耶安。總算是順利完成了這個包含去敵陣搶奪材料等危險要素的任務。今後為他提供幫助的同時，也要小心不要變成技術發展過程中的犧牲品。
5,TEXT_BANIXA403_01500_SEQ_05,空
6,TEXT_BANIXA403_01500_SEQ_06,空
7,TEXT_BANIXA403_01500_SEQ_07,空
8,TEXT_BANIXA403_01500_SEQ_08,空
9,TEXT_BANIXA403_01500_SEQ_09,空
10,TEXT_BANIXA403_01500_SEQ_10,空
11,TEXT_BANIXA403_01500_SEQ_11,空
12,TEXT_BANIXA403_01500_SEQ_12,空
13,TEXT_BANIXA403_01500_SEQ_13,空
14,TEXT_BANIXA403_01500_SEQ_14,空
15,TEXT_BANIXA403_01500_SEQ_15,空
16,TEXT_BANIXA403_01500_SEQ_16,空
17,TEXT_BANIXA403_01500_SEQ_17,空
18,TEXT_BANIXA403_01500_SEQ_18,空
19,TEXT_BANIXA403_01500_SEQ_19,空
20,TEXT_BANIXA403_01500_SEQ_20,空
21,TEXT_BANIXA403_01500_SEQ_21,空
22,TEXT_BANIXA403_01500_SEQ_22,空
23,TEXT_BANIXA403_01500_SEQ_23,空
24,TEXT_BANIXA403_01500_TODO_00,從鳥人軍採伐所的中獲取
25,TEXT_BANIXA403_01500_TODO_01,將交給秋瓜浮村的休德耶德
26,TEXT_BANIXA403_01500_TODO_02,製作筆記 友好部族任務10級：製作
27,TEXT_BANIXA403_01500_TODO_03,空
28,TEXT_BANIXA403_01500_TODO_04,空
29,TEXT_BANIXA403_01500_TODO_05,空
30,TEXT_BANIXA403_01500_TODO_06,空
31,TEXT_BANIXA403_01500_TODO_07,空
32,TEXT_BANIXA403_01500_TODO_08,空
33,TEXT_BANIXA403_01500_TODO_09,空
34,TEXT_BANIXA403_01500_TODO_10,空
35,TEXT_BANIXA403_01500_TODO_11,空
36,TEXT_BANIXA403_01500_TODO_12,空
37,TEXT_BANIXA403_01500_TODO_13,空
38,TEXT_BANIXA403_01500_TODO_14,空
39,TEXT_BANIXA403_01500_TODO_15,空
40,TEXT_BANIXA403_01500_TODO_16,空
41,TEXT_BANIXA403_01500_TODO_17,空
42,TEXT_BANIXA403_01500_TODO_18,空
43,TEXT_BANIXA403_01500_TODO_19,空
44,TEXT_BANIXA403_01500_TODO_20,空
45,TEXT_BANIXA403_01500_TODO_21,空
46,TEXT_BANIXA403_01500_TODO_22,空
47,TEXT_BANIXA403_01500_TODO_23,空
48,TEXT_BANIXA403_01500_TAZELMEYEAN_000_000,"天才的老子又想出了劃時代的新式機關！
接下來只差了！"
49,TEXT_BANIXA403_01500_TAZELMEYEAN_000_010,"沒錯，只要再有高精度齒輪的話，就能試製新式機關了！
你去秋瓜浮村的製作設施做點過來吧！
就是那個叫休德什麼什麼的女人管理的地方！"
50,TEXT_BANIXA403_01500_TAZELMEYEAN_000_020,"沒錯，只要再有高純度潤滑油的話，就能試製新式機關了！
你去秋瓜浮村的製作設施做點過來吧！
就是那個叫休德什麼什麼的女人管理的地方！"
51,TEXT_BANIXA403_01500_TAZELMEYEAN_000_030,"沒錯，只要再有接合部位的組件，就能試製新式機關了！
你去秋瓜浮村的製作設施做點過來吧！
就是那個叫休德什麼什麼的女人管理的地方！"
52,TEXT_BANIXA403_01500_TAZELMEYEAN_000_040,"材料的話鳥人軍採伐所的那群人貯備了很多！
你去打開偷3個過來！"
53,TEXT_BANIXA403_01500_TAZELMEYEAN_000_041,"誰敢礙事你就抽誰！
但死了可別怪老子不給你收屍！
技術的發展過程中犧牲是不可或缺的！"
54,TEXT_BANIXA403_01500_TAZELMEYEAN_000_050,"就交給你了！
材料去鳥人軍採伐所偷就行！
誰敢礙事你就大耳刮子招呼他！"
55,TEXT_BANIXA403_01500_HILDEYERD_000_060,"你好呀！
小妹妹，你又來找姐姐玩了！
想借用這裡的話，要把你拿來的材料都先交給姐姐哦！"
56,TEXT_BANIXA403_01500_HILDEYERD_000_061,"嗯嗯，拿來了這麼多，真是厲害！
給，這是你需要的份量。萬一失敗了的話，
記得不要一個人哭鼻子，可以再來找姐姐要哦！"
57,TEXT_BANIXA403_01500_HILDEYERD_000_100,"失敗了的話也不要哭，站著……不對，
是再來找姐姐要就行了喲！"
